0,A classe média do Canadá desbanca a dos EUA 
1,Centenas morrem em deslizamento de terra no Afeganistão 
2,Libertados os observadores da OSCE retidos na Ucrânia 
3,Foi injetada droga suficiente para matá-lo? 
4,Um juiz autoriza a prorrogação da prisão do líder republicano Adams 
5,Obama e Merkel tentam preservar unidade transatlântica ante a Rússia 
6,O incêndio de um edifício durante os confrontos em Odessa deixa 31 mortos 
7,A Rússia exige o fim da “operação punitiva” em Slaviansk 
8,A ONU registra 350 mortos por soterramentos no Afeganistão 
9,A Rússia na América Latina: imagens contra realidades 
10,Os ataques rebeldes a posições de Assad se intensificam 
11,A procuradoria pede a prisão do ex-presidente salvadorenho Flores 
12,A filha de vítima do IRA ameaça denunciar o assassino de sua mãe 
13,Mina desmorona na Colômbia e deixa três mortos 
14,Kiev começa uma operação no sudeste do país para retomar Slaviansk 
15,"Cuba, Venezuela e Honduras se mantêm como os países com menos liberdade de imprensa na América Latina "
16,O canal venezuelano Globovisión censura uma entrevista com Vargas Llosa 
17,A Bolívia marca a eleição presidencial para 12 de outubro 
18,A detenção de Adams reacende o drama de desaparecidos no Ulster 
19,Outro escândalo com drogas tira o prefeito de Toronto da campanha 
20,As hesitações europeias perante a Ucrânia impacientam os EUA 
21,Kiev reintroduz o serviço militar obrigatório contra a perda do Leste 
22,Uma explosão na periferia da capital da Nigéria deixa 18 mortos 
23,Batalha campal em Istambul na manifestação do 1 de maio 
24,"“Sei quem matou a minha mãe, mas não posso dizer” "
25,Líder republicano é preso por um assassinato do IRA em 1972 
26,O Iraque tem 50 atentados mesmo com operação policial pelas eleições 
27,O Governo de Kiev admite a perda de duas províncias no leste 
28,A OPAQ investigará o uso de gás cloro pelo Exército sírio 
29,O premiê holandês ameaçou a UE de abandonar o euro em 2012 
30,Retratos do conflito 
31,Uma desastrosa execução em Oklahoma retoma o debate sobre a pena de morte 
32,O abraço de Schröder em Putin gera várias críticas na Alemanha 
33,Homens armados tomam a Prefeitura e a polícia de Gorlovka 
34,Cuba e a UE iniciam o diálogo para reatar suas relações 
35,A violência ofusca a campanha eleitoral no Iraque 
36,As sanções chegam ao círculo íntimo de Putin 
37,Um ex-chefe de inteligência de Hugo Chávez é assassinado 
38,A Assembleia Nacional francesa aprova um corte de gastos histórico 
39,Os pró-russos tomam a Administração Provincial de Lugansk 
40,Os tornados causam mais de 30 mortes no sul dos EUA 
41,Os tornados nos EUA 
42,A Espanha mantém a eliminação de empregos no primeiro trimestre 
43,Um duplo atentado deixa 42 mortos e 111 feridos na cidade síria de Homs 
44,"Santos lidera, mas se enfraquece nas pesquisas eleitorais "
45,Pyongyang dispara fogo real perto da fronteira marítima com o Sul 
46,Portugal anda por estradas vicinais 
47,Os escândalos fortalecem o populista UKIP no Reino Unido 
48,Cuba concede maior autonomia às empresas estatais 
49,Buteflika anuncia outro Governo e reformas constitucionais na Argélia 
50,Os reis da Espanha debatem o desemprego juvenil com o Papa 
51,Os EUA anunciam novas multas econômicas contra a Rússia 
52,Os linchamentos e a impunidade se retroalimentam na América Central 
53,Berlim freia o pedido de Londres e Varsóvia para castigar Putin 
54,O atentado contra o prefeito de Carcóvia agrava a violência no leste da Ucrânia 
55,O Egito condena à morte o líder da Irmandade Muçulmana 
56,O processo de paz agoniza (outra vez) 
57,Os EUA incitam a Europa a reagir 
58,Obama corteja a Malásia para neutralizar o crescimento chinês 
59,Rebeldes pró-Rússia ocupam a televisão pública de Donetsk 
60,Assad ganha terreno no confronto antes da encenação eleitoral 
61,Primeiro-ministro da Coreia do Sul pede demissão após o naufrágio 
62,“É perfeitamente legítimo ter uma lei de comunicação” 
63,O vazio político empurra o leste da Ucrânia para a deriva 
64,A cada um o que lhe compete 
65,"Brasil é um país de alto risco, segundo a Alemanha "
66,Nenhum candidato consegue a maioria absoluta nas eleições afegãs 
67,Argentina avança para liberalização de sua economia 
68,Santos impugna a decisão que ordenou restituir o prefeito de Bogotá 
69,"Educação infantil, o profundo atraso da América Latina "
70,Um povo guerreiro amazônico acolhe os perseguidos por Correa no Equador 
71,A prisão de observadores europeus eleva mais a tensão na Ucrânia 
72,O Pentágono afirma que aviões russos violaram o espaço aéreo ucraniano 
73,“As lutas dos estudantes são nossas também” 
74,A Ucrânia denuncia crimes contra a humanidade no Tribunal de Haia 
75,O Supremo limita o direito ao protesto na Venezuela 
76,Obama acerta com a Europa novas sanções contra Moscou 
77,Pobre Rússia 
78,"“Neste ano sairei de Cuba, vivo ou morto” "
79,"A Malásia publicará um relatório
do MH370 na próxima semana "
80,Terceira rodada de diálogo entre Governo e oposição avança pouco 
81,"“Rapaz, a Revolução dos Cravos é esta noite” "
82,O Pentágono assegura que aviões russos violaram o espaço aéreo ucraniano 
83,Vargas Llosa respalda a luta dos estudantes contra o chavismo 
84,Londres ‘recruta’ mães para tentar dissuadir filhos de lutarem na Síria 
85,Tensão na Ucrânia 
86,Os parques na América Latina são aliados contra o crime 
87,Obama reafirma o compromisso dos EUA em defender o Japão 
88,Aumenta a tensão na Ucrânia com as manobras russas na fronteira 
89,Santos é obrigado a reintegrar Petro como prefeito de Bogotá 
90,"A rocambolesca história de William J. Vahey, professor pedófilo "
91,"As mortes aumentam 55% em Michoacán, apesar do plano de paz "
92,"Maduro dialoga, mas não cede "
93,Tropas ucranianas lutam para sufocar a insurreição em Slaviansk 
94,Três empresas dos EUA se retificam e ajudam as vítimas desabamento em Dacca 
95,O órgão que vigia jornalistas e a imprensa no Equador 
96,Moscou adverte que defenderá os russos do leste da Ucrânia 
97,Os EUA entram na ‘lista negra’ da CIDH por não fechar Guantánamo 
98,"“Loira, faço tudo com você” "
99,A Austrália investiga um possível resto do MH370 em uma praia 
100,Amsterdã reconhece sua dívida com os sobreviventes do Holocausto 
